BAR,DB,PHONE,STORE_SITE_ID,SCHEDULES,TIMEZONE,MAP_URL,PIPELINE_URL,SLACK,NOTEPADURL,RESTRICTIONS
BAR674,652,(610) 876-6445,123,8:30AM-11:00AM,Australia/Perth,https://fleet-admin.badger-technologies.com/robots/652/map,https://fleet-admin.badger-technologies.com/robots/546/play-executions/1813093,Pilot_ahold^GKWPJV86Q|Pilot_ woodmans^GKQF35338|Pilot_woolworths^GKQF35338,http://10.210.232.187:3000/19a37420-2cb5-42ff-86a3-b02e194c5b2c,Do not send next play|Do not e-stop|Do not send nav goals
BAR564,3,(234) 555-5555,321,3:30PM-5:00PM,America/New_York,https://fleet-admin.badger-technologies.com/robots/652/map,https://fleet-admin.badger-technologies.com/robots/546/play-executions/1813093,Pilot_walmart^GMDJ0EVR6|walmart-critical^GTA9E5N85|walmart-error^GTC3E3SEB|walmart-warn^CTA8Q37B2,http://10.210.232.187:3000/19a37420-2cb5-42ff-86a3-b02e194c5b2c,
BAR676,654,(456) 444-6578,786,2:30AM-6:00AM,America/Chicago,https://fleet-admin.badger-technologies.com/robots/652/map,https://fleet-admin.badger-technologies.com/robots/546/play-executions/1813093,Pilot_ahold^GKWPJV86Q|Pilot_ woodmans^GKQF35338|Pilot_woolworths^GKQF35338,http://10.210.232.187:3000/19a37420-2cb5-42ff-86a3-b02e194c5b2c,
BAR677,655,(987) 987-9875,435,1:30AM-4:00AM,Asia/Karachi,https://fleet-admin.badger-technologies.com/robots/652/map,https://fleet-admin.badger-technologies.com/robots/546/play-executions/1813093,Pilot_walmart^GMDJ0EVR6|walmart-critical^GTA9E5N85|walmart-error^GTC3E3SEB|walmart-warn^CTA8Q37B2,,
BAR777,655,(987) 987-9875,435,1:30AM-4:00AM,Asia/Karachi,https://fleet-admin.badger-technologies.com/robots/652/map,https://fleet-admin.badger-technologies.com/robots/546/play-executions/1813093,Pilot_walmart^GMDJ0EVR6|walmart-critical^GTA9E5N85|walmart-error^GTC3E3SEB|walmart-warn^CTA8Q37B2,,
BAR877,655,(987) 987-9875,435,1:30AM-4:00AM,Asia/Karachi,https://fleet-admin.badger-technologies.com/robots/652/map,https://fleet-admin.badger-technologies.com/robots/546/play-executions/1813093,Pilot_walmart^GMDJ0EVR6|walmart-critical^GTA9E5N85|walmart-error^GTC3E3SEB|walmart-warn^CTA8Q37B2,http://10.210.232.187:3000/19a37420-2cb5-42ff-86a3-b02e194c5b2c,
BAR977,655,(987) 987-9875,435,1:30AM-4:00AM,Asia/Karachi,https://fleet-admin.badger-technologies.com/robots/652/map,https://fleet-admin.badger-technologies.com/robots/546/play-executions/1813093,Pilot_walmart^GMDJ0EVR6|walmart-critical^GTA9E5N85|walmart-error^GTC3E3SEB|walmart-warn^CTA8Q37B2,,
BAR177,655,(987) 987-9875,435,1:30AM-4:00AM,Asia/Karachi,https://fleet-admin.badger-technologies.com/robots/652/map,https://fleet-admin.badger-technologies.com/robots/546/play-executions/1813093,Pilot_walmart^GMDJ0EVR6|walmart-critical^GTA9E5N85|walmart-error^GTC3E3SEB|walmart-warn^CTA8Q37B2,http://10.210.232.187:3000/19a37420-2cb5-42ff-86a3-b02e194c5b2c,
BAR277,655,(987) 987-9875,435,1:30AM-4:00AM,Asia/Karachi,https://fleet-admin.badger-technologies.com/robots/652/map,https://fleet-admin.badger-technologies.com/robots/546/play-executions/1813093,Pilot_walmart^GMDJ0EVR6|walmart-critical^GTA9E5N85|walmart-error^GTC3E3SEB|walmart-warn^CTA8Q37B2,,
BAR377,655,(987) 987-9875,435,1:30AM-4:00AM,Asia/Karachi,https://fleet-admin.badger-technologies.com/robots/652/map,https://fleet-admin.badger-technologies.com/robots/546/play-executions/1813093,Pilot_walmart^GMDJ0EVR6|walmart-critical^GTA9E5N85|walmart-error^GTC3E3SEB|walmart-warn^CTA8Q37B2,http://10.210.232.187:3000/19a37420-2cb5-42ff-86a3-b02e194c5b2c,